pelicula,anio,actor,personaje
Amante para dos,1981,Valeria Pani,
Amante para dos,1981,Jorge Porcel,cameo
Amante para dos,1981,Pepe Armil,
Amante para dos,1981,Petty Castillo,
Amante para dos,1981,Carol Iujas,
Amante para dos,1981,Líz Fernández,
Amante para dos,1981,Oscar Roy,
Amante para dos,1981,Gloria Gueddes,
Un movimiento extraño,2024,Laila Maltz,Lucrecia
Un movimiento extraño,2024,Paco Gorriz,Guy from Exchange Office
Un movimiento extraño,2024,Sofía Palomino,Security 1
Un movimiento extraño,2024,Jorge Prado,Security 3
Un movimiento extraño,2024,Cecilia Rainero,HR Manager 2
Un movimiento extraño,2024,Marcela Guerty,HR Manager 1
Un movimiento extraño,2024,Guillermo Massé,Security 2
Un movimiento extraño,2024,Susana Pampín,Customer
Un movimiento extraño,2024,Alejandro Russek,Grindr Guy
Un movimiento extraño,2024,Eugenia Alonso,Customer
Un movimiento extraño,2024,Pablo Cura,
Un movimiento extraño,2024,Antonia Aguirre,
Un movimiento extraño,2024,Olivia Daiez,
Un movimiento extraño,2024,Silvia Dietrich,
Un movimiento extraño,2024,Agustín García Moreno,
Un movimiento extraño,2024,Juanse Alamos,
Un movimiento extraño,2024,Denis Corzo,
Un movimiento extraño,2024,Claudia Ardiles,
Ana y los otros,2003,Camila Toker,Ana
Ana y los otros,2003,Ignacio Uslenghi,Diego
Ana y los otros,2003,Juan Cruz Díaz la Barba,Matías
Ana y los otros,2003,Natacha Massera,Natalia
Ana y los otros,2003,Natalia Gómez Alarcón,Silvina
Andrés no quiere dormir la siesta,2010,Conrado Valenzuela,Andrés
Andrés no quiere dormir la siesta,2010,Norma Aleandro,Olga
Andrés no quiere dormir la siesta,2010,Fabio Aste,Raúl
Andrés no quiere dormir la siesta,2010,Marcelo Melingo,Sebastián
Andrés no quiere dormir la siesta,2010,Celina Font,Nora
Andrés no quiere dormir la siesta,2010,Juan Manuel Tenuta,Antonio
Andrés no quiere dormir la siesta,2010,Ezequiel Díaz,Alfredo
Andrés no quiere dormir la siesta,2010,Lautaro Puccia Sagardoy,Armando
Andrés no quiere dormir la siesta,2010,Maria Jose Gabin,Carmen
Andrés no quiere dormir la siesta,2010,Nontué Bautista,Hernán
Andrés no quiere dormir la siesta,2010,Brian Sichel,Gustavo
Andrés no quiere dormir la siesta,2010,Alicia Aller,Martha
Andrés no quiere dormir la siesta,2010,Nerea Leiva,Inés
Andrés no quiere dormir la siesta,2010,Melani Masino,Clara
Andrés no quiere dormir la siesta,2010,Iride Mockert,Maestra Cata
Andrés no quiere dormir la siesta,2010,Diego Soffici,JJ
Andrés no quiere dormir la siesta,2010,Sergio Cangiano,Médico
Andrés no quiere dormir la siesta,2010,Gabriel Amiel,Hombre de JJ 1
Andrés no quiere dormir la siesta,2010,Fabián Forte,Hombre de JJ 2
Andrés no quiere dormir la siesta,2010,Roberto Trucco,Amigo de Raúl 1
Andrés no quiere dormir la siesta,2010,Ignacio Amarillo,Amigo de Raúl 2
Andrés no quiere dormir la siesta,2010,Susana Meinet,Directora
Andrés no quiere dormir la siesta,2010,Mercedes Abraham,Maestra música
Andrés no quiere dormir la siesta,2010,Lilia Rodin,Secretaria 1
Andrés no quiere dormir la siesta,2010,Nelda González,Secretaria 2
Andrés no quiere dormir la siesta,2010,Augusto Giles,Alumno Méndez
Andrés no quiere dormir la siesta,2010,Gerardo Marcantonio,Profesor de judo
Andrés no quiere dormir la siesta,2010,Tomás Altamirano,Alumno
Andrés no quiere dormir la siesta,2010,Horacio Cangiano,Alumno / Chico bando opuesto
Andrés no quiere dormir la siesta,2010,Carolina Sagardoy,Mujer 1 navidad
Andrés no quiere dormir la siesta,2010,Ignacio Zaldarriaga,Hombre 1 navidad
Andrés no quiere dormir la siesta,2010,Soledad Arocena,Mujer 2 navidad
Andrés no quiere dormir la siesta,2010,Hugo Goren,Hombre 2 navidad
Andrés no quiere dormir la siesta,2010,Rosa Ibañez,Dora
Andrés no quiere dormir la siesta,2010,Stella Maris Braidotti,Vecina velorio
Andrés no quiere dormir la siesta,2010,Lara Fiore,Sobrina 1 navidad
Andrés no quiere dormir la siesta,2010,Ignacio Crecio,Niño 1 velorio y navidad
Andrés no quiere dormir la siesta,2010,Tobías Lecchi,Niño 2 velorio y navidad
Andrés no quiere dormir la siesta,2010,Miqueas Deangelis,Chico 1 barrio
Andrés no quiere dormir la siesta,2010,Lautaro Kulik Alé,Chico 2 barrio
Andrés no quiere dormir la siesta,2010,Tao Contreras,Chico 3 barrio
Andrés no quiere dormir la siesta,2010,Ever Kulik,Chico 4 barrio
Andrés no quiere dormir la siesta,2010,Oriana Ferrero,Chico 4
Andrés no quiere dormir la siesta,2010,Luisina Agustini,Novia Armando
Andrés no quiere dormir la siesta,2010,María Agustina Eguiluz,Víctima hospital
Andrés no quiere dormir la siesta,2010,Raúl Deymonnaz,Hombre 1 hospital
Andrés no quiere dormir la siesta,2010,Sebastián Roulet,Hombre 2 hospital
Andrés no quiere dormir la siesta,2010,Ariel Leider,Hombre 3 hospital
Andrés no quiere dormir la siesta,2010,Fernando González,Hombre procedimiento
Andrés no quiere dormir la siesta,2010,Valentina Cortese,Mujer procedimiento
Andrés no quiere dormir la siesta,2010,Tomás López Rosas,Alumno Mendez
Andrés no quiere dormir la siesta,2010,Lautaro Arias,Chico bando opuesto
Andrés no quiere dormir la siesta,2010,Renzo Cosentino,Chico bando opuesto
Andrés no quiere dormir la siesta,2010,Vanina Oroño,Irma
Aniceto,2008,Hernán Piquín,Aniceto
Aniceto,2008,Natalia Pelayo,La Francisca
Aniceto,2008,Alejandra Baldoni,La Lucía
Otra película maldita,2023,Darío Lavia,Self
Otra película maldita,2023,Cristina Zaccaría,Self
Otra película maldita,2023,Pablo Sapere,Self
Otra película maldita,2023,Gabriel Schipani,Self
Otra película maldita,2023,Fernando Martín Peña,Self
Otra película maldita,2023,Violeta Aguirre González,Self
Otra película maldita,2023,Christian Aguirre,Self
Otra película maldita,2023,Raúl Manrupe,Self
Otra película maldita,2023,Narciso Ibáñez Menta,Self
Otra película maldita,2023,Sergio Esquenazi,Self
Otra película maldita,2023,Laura Casabé,Self
Otra película maldita,2023,Jimena Monteoliva,Self
Otra película maldita,2023,Fabián Forte,Self
Otra película maldita,2023,Mad Crampi,Self
Otra película maldita,2023,Ruth Gómez,Self
Otra película maldita,2023,Gonzalo Mellid,Self
Otra película maldita,2023,Demián Rugna,Self
Otra película maldita,2023,Paula Pollacchi,Self
Otra película maldita,2023,Alejo Rébora,Self
Otra película maldita,2023,Daniel de la Vega,Self
Otra película maldita,2023,Pablo Parés,Self
Otra película maldita,2023,Diego Curubeto,Self
Otra película maldita,2023,Carina Rodríguez,Self
Otra película maldita,2023,Hernán Moyano,Self
Otra película maldita,2023,Carlos Galettini,Self
Otra película maldita,2023,Ezio Massa,Self
Otra película maldita,2023,Jorge Caterbona,Self
Otra película maldita,2023,Uriel Barros,Self
Otra película maldita,2023,Ayi Turzi,Self
Otra película maldita,2023,Bernardo Arias,Self
Otra película maldita,2023,María José Demare,Self
Otra película maldita,2023,Susana Beltrán,Self
Otra película maldita,2023,Emilio Vieyra,Self
Otra película maldita,2023,Pedro Stocki,Self
Otra película maldita,2023,Gustavo Cova,Self
Otra película maldita,2023,Fabián García,Self
Otra película maldita,2023,Jorge Carlos García,Self
Otra película maldita,2023,Miguel Bejo,Self
Otra película maldita,2023,Horacio Maldonado,Self
Otra película maldita,2023,Bebe Kamín,Self
Otra película maldita,2023,Gonzalo Calzada,Self
Otra película maldita,2023,Clara Kovacic,Self
Otra película maldita,2023,Damián Leibovich,Self
Otra película maldita,2023,Eric Fleitas,Self
Otra película maldita,2023,Luciana Garraza,Self
Arrabalera,1950,Tita Merello,Felisa Roverano
Arrabalera,1950,Santiago Gómez Cou,Servando Gómez
Arrabalera,1950,Mario Fortuna,Gallito
Arrabalera,1950,Raúl del Valle,Domingo Cardozo
Arrabalera,1950,Tito Alonso,Minguito
Arrabalera,1950,Marga López,Rosita
Arrabalera,1950,Leticia Scury,
Arrabalera,1950,Blanca Tapia,
Arrabalera,1950,Julia Giusti,
Arrabalera,1950,Juan Pecci,
Arrabalera,1950,Oscar Soldati,
Arrabalera,1950,José Pecet,
Arrabalera,1950,Margarita Burke,
Arrabalera,1950,Celia Geraldy,
Arrabalera,1950,Carlos A. Gordillo,
Arrabalera,1950,Arsenio Perdiguero,
Arrabalera,1950,Aída Villadeamigo,
Arroz con leche,1950,Ángel Magaña,
Arroz con leche,1950,Malisa Zini,
Arroz con leche,1950,Amelita Vargas,
Arroz con leche,1950,Héctor Calcaño,
Arroz con leche,1950,Nélida Romero,
Arroz con leche,1950,María Esther Podestá,
Arroz con leche,1950,Carlos Enríquez,
Arroz con leche,1950,Esteban Serrador,
Arroz con leche,1950,Perla Achával,
Arroz con leche,1950,Wanda Were,
Arroz con leche,1950,Ivor Hallez,
Arroz con leche,1950,Daniel Hallez,
Arroz con leche,1950,Hilda Rey,
Arroz con leche,1950,Adolfo Linvel,
Arroz con leche,1950,Lalo Hartich,
Arroz con leche,1950,Mario Perelli,
Arroz con leche,1950,Adolfo Calcaño,
Arroz con leche,1950,Arsenio Perdiguero,
Arroz con leche,1950,Eliseo Herrero,
Arroz con leche,1950,Mario Banadía,
Arroz con leche,1950,Rosalía Riliskis,
Arroz con leche,1950,Virginia de la Cruz,
Arroz con leche,1950,Lía Durán,
Arroz con leche,1950,Leticia Estrada Cabrera,
Arroz con leche,1950,Susana Campos,
Arroz con leche,1950,Francisco Barletta,
Arroz con leche,1950,Tesy Rainer,
Arroz con leche,1950,Fanny Gessler,
Arroz con leche,1950,Trudy Essler,
Arroz con leche,1950,Delfy Miranda,
Arroz con leche,1950,J. Antonelli,
Arroz con leche,1950,Mercedes Villa,
Arroz con leche,1950,Margarita Janny,
Arroz con leche,1950,Luis Mora,
Arroz con leche,1950,Francisco Lizzio,
Arroz con leche,1950,J. Scolpini,
Arroz con leche,1950,Lina Bardo,
Arroz con leche,1950,Eda Albéniz,
Arroz con leche,1950,Marta Descón,
Arroz con leche,1950,René Escobar,
Arroz con leche,1950,Perla Cristal,
Cenizas del paraíso,1997,Héctor Alterio,Judge Costa Makantasis
Cenizas del paraíso,1997,Cecilia Roth,Juez Beatriz Teller
Cenizas del paraíso,1997,Leonardo Sbaraglia,Pablo Makantasis
Cenizas del paraíso,1997,Daniel Kuzniecka,Nicolás Makantasis
Cenizas del paraíso,1997,Leticia Brédice,Ana Muro
Cenizas del paraíso,1997,Nicolás Abeles,Alejandro Makantasis
Cenizas del paraíso,1997,Jorge Marrale,Francisco Muro
Cenizas del paraíso,1997,Alejo Garcia Pintos,Yeti
Cenizas del paraíso,1997,Chela Ruiz,Isabel Güemes
Cenizas del paraíso,1997,Rita Cortese,Mirta
Cenizas del paraíso,1997,Horacio Roca,Iriarte
Cenizas del paraíso,1997,Mónica Scapparone,Carolina Miranda
Cenizas del paraíso,1997,María Fiorentino,Hilda
Cenizas del paraíso,1997,Emilio Bardi,Méndez
Cenizas del paraíso,1997,José María Monje,Guard Cacho
Cenizas del paraíso,1997,Ernesto Claudio,Judge Martini
Cenizas del paraíso,1997,Celina Font,Dolores
Cenizas del paraíso,1997,Fabio Aste,Urgency equipment doctor
Cenizas del paraíso,1997,Héctor Bordoni,Omar
Cenizas del paraíso,1997,Daniel Di Biase,Jurist
Cenizas del paraíso,1997,Alejandro Fain,Tony
Cenizas del paraíso,1997,Gabriel Galíndez,Urgency equipment nurse
Cenizas del paraíso,1997,Jorge García Marino,Forense
Cenizas del paraíso,1997,Javier García,Gabriel Nogués
Cenizas del paraíso,1997,Maxi Ghione,Reporter
Cenizas del paraíso,1997,Tito Haas,Chief Alcaidia
Cenizas del paraíso,1997,Enrique Latorre,Cellular guard
Cenizas del paraíso,1997,Isabel Macedo,Woman at Party
Cenizas del paraíso,1997,Pablo Nápoli,Araz
Cenizas del paraíso,1997,Erasmo Olivera,Hernán
Cenizas del paraíso,1997,Jorge Román,(uncredited)
Así es Buenos Aires,1971,Hugo Marcel,Hugo Marín
Así es Buenos Aires,1971,Soledad Silveyra,María Pagano
Así es Buenos Aires,1971,Ricardo Bauleo,Ricardo
Así es Buenos Aires,1971,Víctor Bó,Víctor Madariaga
Así es Buenos Aires,1971,Nelly Panizza,Blanca
Así es Buenos Aires,1971,Walter Kliche,Lalo Rossi
Así es Buenos Aires,1971,Adriana Hope,
Así es Buenos Aires,1971,Lucio Deval,
Así es Buenos Aires,1971,Gloria Prat,
Así es Buenos Aires,1971,Esther Velázquez,
Así es Buenos Aires,1971,Susana Giménez,Susana Marín
Así es Buenos Aires,1971,Alfredo Suárez,
Así es la vida,1939,Enrique Muiño,Ernesto
Así es la vida,1939,Elías Alippi,Alberto
Así es la vida,1939,Enrique Serrano,Liberti
Así es la vida,1939,Sabina Olmos,Felisa
Así es la vida,1939,Arturo García Buhr,Carlos
Así es la vida,1939,Niní Gambier,Tota
Así es la vida,1939,Felisa Mary,Eloisa
Así es la vida,1939,Alberto Bello,Barreiro
Así es la vida,1939,Alimedes Nelson,
Así es la vida,1939,Héctor Coire,Eduardo
Así es la vida,1939,Pablo Vicuña,
Así es la vida,1939,José Ruzzo,
Así es la vida,1939,Alfredo Jordán,
Así es la vida,1939,Fernando Campos,
Así no hay cama que aguante,1980,Jorge Porcel,Jorge
Así no hay cama que aguante,1980,Moria Casán,Marcela
Así no hay cama que aguante,1980,Chico Novarro,Horacio
Así no hay cama que aguante,1980,Patricia Dal,Teresa
Así no hay cama que aguante,1980,Marcos Zucker,Don Rosendo
Así no hay cama que aguante,1980,Elvia Andreoli,Silvana
Así no hay cama que aguante,1980,Carlos Rotundo,Claudio
Así no hay cama que aguante,1980,Alberto Irízar,Sócrates Leyes
Así no hay cama que aguante,1980,Pepita Muñoz,Fat lady
Así no hay cama que aguante,1980,César Bertrand,Stableman
Así no hay cama que aguante,1980,Luisa Albinoni,Blonde neighboor (Tennis player)
Así no hay cama que aguante,1980,Loana Muller,
Así no hay cama que aguante,1980,Giselle Durcal,
Así no hay cama que aguante,1980,Alberto Campanini,
Así no hay cama que aguante,1980,Cristina Tocco,
Así no hay cama que aguante,1980,Mónica Lander,
Así no hay cama que aguante,1980,Alberto Olmedo,Cameo
Así no hay cama que aguante,1980,Diego Chamorro,
Así no hay cama que aguante,1980,Alberto Chamorro,
Así no hay cama que aguante,1980,Rubén Alonzo,
Así no hay cama que aguante,1980,Roby Power,
Así no hay cama que aguante,1980,Efren Rodriguez,
Así no hay cama que aguante,1980,Katunga,
Así o de otra manera,1964,Mario Passano,
Así o de otra manera,1964,Beatriz Barbieri,
Así o de otra manera,1964,Zulema Katz,
Así o de otra manera,1964,Mecha López,
Así o de otra manera,1964,Maurice Jouvet,
Así o de otra manera,1964,Alberto Barcel,
Así o de otra manera,1964,Raúl del Valle,
Así o de otra manera,1964,José María Fra,
Así o de otra manera,1964,Ignacio Souto,
Asalto y violación en la calle 69,1991,Silvia Peyrou,Maribel
Asalto y violación en la calle 69,1991,Reinaldo Alcaraz,
Asalto y violación en la calle 69,1991,Hector Araujo,
Asalto y violación en la calle 69,1991,Walter Longo,
Asalto y violación en la calle 69,1991,Susana Alonso,
Asalto y violación en la calle 69,1991,María Silvia Varela,
"Al final, el día",2023,Natalia Di Cienzo,
"Al final, el día",2023,Carolina Godoy,
"Al final, el día",2023,Margarita Alabart Vergara,
Avivato (El rey de los vivos),1949,Pepe Iglesias,
Avivato (El rey de los vivos),1949,Lilian Valmar,
Avivato (El rey de los vivos),1949,Alberto Terrones,
Avivato (El rey de los vivos),1949,Tono Andreu,
Avivato (El rey de los vivos),1949,Benita Puértolas,
Avivato (El rey de los vivos),1949,Roberto Blanco,
Avivato (El rey de los vivos),1949,Salvador Fortuna,
Avivato (El rey de los vivos),1949,Germán Vega,
Avivato (El rey de los vivos),1949,Olga Simaitis,
Avivato (El rey de los vivos),1949,Ramón J. Garay,
Avivato (El rey de los vivos),1949,Alberto Soler,
Avivato (El rey de los vivos),1949,Domingo Mania,
Avivato (El rey de los vivos),1949,Graciliano Batista,
Avivato (El rey de los vivos),1949,Jorge Villoldo,
Avivato (El rey de los vivos),1949,Liana Moabro,
Avivato (El rey de los vivos),1949,Wanda Wery,
Avivato (El rey de los vivos),1949,Francisco Audenino,
Avivato (El rey de los vivos),1949,Camelia de Maucci,
Avivato (El rey de los vivos),1949,Alberto Quiles,
Avivato (El rey de los vivos),1949,Miguel Caiazzo,
Avivato (El rey de los vivos),1949,Miguel Cossa,
Avivato (El rey de los vivos),1949,Carmen Salmerón,
Avivato (El rey de los vivos),1949,Marisa Núñez,
Avivato (El rey de los vivos),1949,Juan Carrara,
Avivato (El rey de los vivos),1949,Manuel Sojit,
Ayúdame a vivir,1936,Libertad Lamarque,Luisita
Ayúdame a vivir,1936,Floren Delbene,Julio
Ayúdame a vivir,1936,Perla Mary,Mariluz
Ayúdame a vivir,1936,Delia Durruty,Teresa
Ayúdame a vivir,1936,Lalo Harbín,Federico
Ayúdame a vivir,1936,Santiago Gómez Cou,Enrique
Ayúdame a vivir,1936,Atilio Supparo,Abuelo
Ayúdame a vivir,1936,Alesio Guevara,
Ayúdame a vivir,1936,Fanny Dejouanne,
Ayúdame a vivir,1936,Nelly Montiel,(as Nelly Edison)
Badur Hogar,2019,Bárbara Lombardo,Luciana
Badur Hogar,2019,Javier Flores,Juan Badur
Badur Hogar,2019,Daniel Elías,Martín Galarza
Badur Hogar,2019,María Gracia Zandanel,Paola
Badur Hogar,2019,Castulo Guerra,Domingo Badur
Badur Hogar,2019,Nicolás Gabriel Obregón,Gaspar
Baixo Erotism,2006,Fernanda García Lao,
Baixo Erotism,2006,Selena Prat,
Baixo Erotism,2006,Soledad Olaiz,
Baixo Erotism,2006,Sebastián Vigo,
Bajo el signo de la patria,1971,Ignacio Quirós,Manuel Belgrano
Bajo el signo de la patria,1971,Enrique Liporace,Cornelio Zelaya
Bajo el signo de la patria,1971,Héctor Pellegrini,
Bajo el signo de la patria,1971,Roberto Airaldi,
Bajo el signo de la patria,1971,Ricardo Passano,
Bajo el signo de la patria,1971,Leonor Benedetto,
Bajo el signo de la patria,1971,Néstor Zebrini,
Bajo el signo de la patria,1971,Reynaldo Mompel,
Bajo el signo de la patria,1971,Martín Adjemián,
Bajo el signo de la patria,1971,Aldo Mayo,
Bajo el signo de la patria,1971,Rodolfo Machado,
Bajo el signo de la patria,1971,Gloria Leyland,
Bajo el signo de la patria,1971,Mario Lozano,
Bajo el signo de la patria,1971,Juan Carlos Lamas,
Bajo el signo de la patria,1971,Hugo Mugica,
Bajo el signo de la patria,1971,Aldo Barbero,
Bajo el signo de la patria,1971,Jesús Pampín,
Bajo el signo de la patria,1971,Ariel Absalón,
Balnearios,2002,José Palomino,Self (voice)
Balnearios,2002,Verónica Llinás,Self (voice)
Balnearios,2002,Daniel Natanson,Self (voice)
Balnearios,2002,Mario Mactas,Self (voice)
Balnearios,2002,Eduardo Gamba,Mr. G.
Balnearios,2002,Nicolás Goldbart,Young G.
Balnearios,2002,Rafael Filippelli,Lawyer
Balnearios,2002,Ulises de la Orden,Uruguayan
Balnearios,2002,Astrid Lund Petersen,Singer
Balnearios,2002,Sergio Saad,Sailor
Balnearios,2002,Eduardo 'Fatiga' Serrano,Lifeguard
Balnearios,2002,Wenceslao Bonelli,Champion
Balnearios,2002,Luis Pierucci,Guide
Balnearios,2002,Ricardo Mannero,Aquanaut
Balnearios,2002,Liliana Cuomo,Mermaid
Balnearios,2002,Roberto Edgar Ojeda,Guitarist #1
Balnearios,2002,Osvaldo Lucero,Guitarist #2
Balnearios,2002,Eugenia Varas,Swimmer
Balnearios,2002,Mariano Llinás,Model
Balnearios,2002,Alejandro Zucco,Son
Balnearios,2002,Liliana Cuomo,Mermaid
Balnearios,2002,Francisco Miguel Fernández,Singer
El gran amor de Becquer,1946,Delia Garcés,Julia Espín
El gran amor de Becquer,1946,Esteban Serrador,Gustavo Adolfo Bécquer
El gran amor de Becquer,1946,Vicente Ariño,
El gran amor de Becquer,1946,Pedro Codina,
El gran amor de Becquer,1946,Alberto Contreras Jr.,
El gran amor de Becquer,1946,Josefina Díaz,
El gran amor de Becquer,1946,Susana Freyre,
El gran amor de Becquer,1946,Herminia Mas,
El gran amor de Becquer,1946,Domingo Márquez,
El gran amor de Becquer,1946,Juan Serrador,
Betibú,2014,Mercedes Morán,Nurit Iscar
Betibú,2014,Daniel Fanego,Jaime Brena
Betibú,2014,Alberto Ammann,Mariano Saravia
Betibú,2014,Jose Coronado,Lorenzo Rinaldi
Betibú,2014,Lito Cruz,Venturini
Betibú,2014,Esteban Kukuriczka,Benegoechea 16 años
Betibú,2014,Alan Daicz,Luis Collazo (16 años)
Betibú,2014,Gerardo Romano,Luis Collazo
Entre dos luces: Suárez. Primera Parte,2015,Rosario Bléfari,Ella misma
Entre dos luces: Suárez. Primera Parte,2015,Gonzalo Córdoba,Él mismo
Entre dos luces: Suárez. Primera Parte,2015,Diego Fosser,Él mismo
Entre dos luces: Suárez. Primera Parte,2015,Fabio Suárez,Él mismo
Entre dos luces: Suárez. Primera Parte,2015,Marcelo Zanelli,Él mismo
Besos brujos,1937,Libertad Lamarque,Marga
Besos brujos,1937,Floren Delbene,Alberto
Besos brujos,1937,Carlos Perelli,Don Sebastián
Besos brujos,1937,Sara Olmos,Laurita
Besos brujos,1937,Antonio Daglio,
Besos brujos,1937,Satanela,
Besos brujos,1937,Morena Chiolo,
Besos brujos,1937,Salvador Arcella,Zenón
Más allá del olvido,1956,Laura Hidalgo,Blanca / Mónica
Más allá del olvido,1956,Hugo del Carril,Fernando de Arellano
Más allá del olvido,1956,Gloria Ferrandiz,Housekeeper Sabina
Más allá del olvido,1956,Ricardo Galache,Doctor Santillán
Más allá del olvido,1956,Pedro Laxalt,Don Álvaro - Medical Doctor
Más allá del olvido,1956,Francisco López Silva,Butler Esteban
Más allá del olvido,1956,Eduardo Rudy,Luis Marcel / Mauricio Pontier
Más allá del olvido,1956,Ricardo de Rosas,Coachman Bernabé
Más allá del olvido,1956,Víctor Martucci,Doctor - Santillán's Friend
Más allá del olvido,1956,Lilí Gacel,Handmaid Herminia
Más allá del olvido,1956,Ramona Lloveras,Don Álvaro's Wife
Más allá del olvido,1956,Alberto Barcel,Usher
Más allá del olvido,1956,Adolfo Meyer,Don Álvaro's Father
Más allá del olvido,1956,Fedora Marini,Don Álvaro's Mother
Más allá del olvido,1956,Alfredo Almanza,Police Detective #1
Más allá del olvido,1956,Rafael Diserio,
Más allá del olvido,1956,Pedro Garza,
Más allá del olvido,1956,Roberto Machado,Police Detective #2
Más allá del olvido,1956,José Rivas,Porter
Más allá del sol,1975,Germán Kraus,
Más allá del sol,1975,María Rosa Gallo,
Más allá del sol,1975,Víctor Bruno,
Más allá del sol,1975,Alberto Segado,
Más allá del sol,1975,Luis Cordara,
Más allá del sol,1975,Carlos Olivieri,
Más allá del sol,1975,Miguel Ángel Solá,
Más allá del sol,1975,Héctor Gióvine,
Más allá del sol,1975,Edgardo Lusi,
Más allá del sol,1975,Fernando Labat,
Más allá del sol,1975,Maurice Jouvet,
Más allá del sol,1975,Jorge Rivera López,
Más allá del sol,1975,León Sarthié,
Más allá del sol,1975,Silvia Arbisu,
Más allá del sol,1975,Roberto Airaldi,
Más allá del sol,1975,Carlos Vanoni,
Más allá del sol,1975,Fernando «Tacholas» Iglesias,
Más allá del sol,1975,Silvia Albizu,
Más allá del sol,1975,Carlos Moreno,
Más allá del sol,1975,Pablo Alarcón,
Iluminados por el fuego,2005,Gastón Pauls,Esteban Leguizamón
Iluminados por el fuego,2005,Virginia Innocenti,Marta
Iluminados por el fuego,2005,Pablo Ribba,Alberto Vargas
Iluminados por el fuego,2005,César Albarracín,Juan
Iluminados por el fuego,2005,Víctor Hugo Carrizo,Pizarro
Iluminados por el fuego,2005,Arturo Bonín,Médico Buenos Aires
Iluminados por el fuego,2005,Marcelo Chaparro,Gilbert
Iluminados por el fuego,2005,Juan Leyrado,Coronel
Iluminados por el fuego,2005,Lautaro Delgado Tymruk,Editor
Iluminados por el fuego,2005,Gabriel Fernández,Sargento Primero
Bolivia,2001,Freddy Flores,Freddy
Bolivia,2001,Rosa Sánchez,Rosa
Bolivia,2001,Oscar Bertea,Oso
Bolivia,2001,Enrique Liporace,Enrique Galmes
Bolivia,2001,Marcelo Videla,Marcelo
Bolivia,2001,Héctor Anglada,"Héctor, the Salesman"
Bolivia,2001,Alberto Mercado,Mercado
Bolivia,2001,Luis Enrique Caetano,Hombre Locutorio I
Bolivia,2001,Rodolfo Resch,Hombre Locutorio II
Bolivia,2001,Rafael Ferro,Borracho
Bolivia,2001,Rafael Solano,Policia Civil
Bolivia,2001,Claudio Iturrieta,Policia Civil II
Bolivia,2001,Armando Doral,Dueño Pensión
Bolivia,2001,Evander Holyfield,Evander Holyfield (archive footage)
Bolivia,2001,Mike Tyson,Mike Tyson (archive footage)
